Date,Meditation,Exercise,Healthy Meal,Junk Food,Alcohol,Steps (thousands),Water Glasses,Hours of Sleep,Mood Notes
2023-07-30,Yes,No,No,No,No,7,12,12,Great! ğŸŒŸ
2023-07-31,No,No,No,No,No,13,10,6,Great! ğŸŒŸ
2023-08-01,Yes,Yes,No,Yes,Yes,6,7,9,Tired ğŸ˜´
2023-08-02,No,No,Yes,No,Yes,5,0,3,Happy ğŸ˜Š
2023-08-03,Yes,No,No,No,No,20,4,8,Happy ğŸ˜Š
2023-08-04,No,No,Yes,Yes,Yes,9,6,8,Happy ğŸ˜Š
2023-08-05,No,No,No,No,No,14,12,10,Meh ğŸ˜
2023-08-06,Yes,Yes,Yes,Yes,Yes,16,,4,Tired ğŸ˜´
2023-08-07,Yes,Yes,No,,Yes,6,4,5,Energetic âš¡
2023-08-08,Yes,Yes,No,No,No,13,3,5,Happy ğŸ˜Š
2023-08-09,No,Yes,No,No,Yes,12,6,7,Meh ğŸ˜
2023-08-10,Yes,Yes,Yes,Yes,No,10,1,9,Tired ğŸ˜´
2023-08-11,No,Yes,Yes,Yes,No,20,12,5,Great! ğŸŒŸ
2023-08-12,Yes,Yes,Yes,No,No,5,8,3,Meh ğŸ˜
2023-08-13,Yes,No,No,No,Yes,12,12,5,Tired ğŸ˜´
2023-08-14,Yes,Yes,No,No,No,9,12,12,Great! ğŸŒŸ
2023-08-15,Yes,Yes,Yes,Yes,No,11,4,5,Tired ğŸ˜´
2023-08-16,Yes,Yes,No,Yes,Yes,8,1,9,Energetic âš¡
2023-08-17,Yes,Yes,Yes,No,No,4,2,4,Great! ğŸŒŸ
2023-08-18,Yes,Yes,Yes,No,No,6,2,12,Meh ğŸ˜
2023-08-19,Yes,Yes,No,No,No,14,1,7,Energetic âš¡
2023-08-20,No,Yes,Yes,No,No,10,7,12,Energetic âš¡
2023-08-21,No,Yes,No,No,Yes,15,12,6,Meh ğŸ˜
2023-08-22,Yes,Yes,Yes,No,No,11,7,12,Tired ğŸ˜´
2023-08-23,No,No,Yes,Yes,Yes,8,10,4,Happy ğŸ˜Š
2023-08-24,Yes,Yes,Yes,No,No,10,12,4,Energetic âš¡
2023-08-25,Yes,Yes,Yes,Yes,Yes,3,,12,Happy ğŸ˜Š
2023-08-26,No,Yes,No,No,No,11,12,8,Happy ğŸ˜Š
2023-08-27,No,Yes,Yes,No,Yes,1,10,7,Happy ğŸ˜Š
2023-08-28,Yes,No,Yes,No,No,14,3,,Great! ğŸŒŸ
2023-08-29,No,Yes,No,No,No,6,1,5,Energetic âš¡
2023-08-30,No,Yes,Yes,Yes,No,0,2,10,Meh ğŸ˜
2023-08-31,Yes,No,Yes,No,No,13,,7,Great! ğŸŒŸ
2023-09-01,Yes,Yes,Yes,Yes,No,7,5,8,Meh ğŸ˜
2023-09-02,Yes,Yes,Yes,No,No,0,8,6,Great! ğŸŒŸ
2023-09-03,No,Yes,No,Yes,Yes,4,6,4,Tired ğŸ˜´
2023-09-04,Yes,Yes,Yes,No,Yes,5,6,4,Happy ğŸ˜Š
2023-09-05,Yes,Yes,Yes,No,No,2,7,12,Great! ğŸŒŸ
2023-09-06,Yes,Yes,No,No,No,13,7,11,Energetic âš¡
2023-09-07,No,,Yes,No,Yes,8,4,4,Tired ğŸ˜´
2023-09-08,Yes,Yes,No,No,No,5,3,10,Happy ğŸ˜Š
2023-09-09,Yes,No,No,No,No,19,0,11,Tired ğŸ˜´
2023-09-10,Yes,No,No,Yes,Yes,5,9,8,Meh ğŸ˜
2023-09-11,Yes,Yes,Yes,No,Yes,7,3,5,Energetic âš¡
2023-09-12,Yes,Yes,Yes,Yes,No,4,5,5,Tired ğŸ˜´
2023-09-13,No,Yes,Yes,No,Yes,16,3,10,Great! ğŸŒŸ
2023-09-14,No,Yes,Yes,Yes,No,5,6,12,Happy ğŸ˜Š
2023-09-15,Yes,Yes,Yes,No,No,10,12,7,Great! ğŸŒŸ
2023-09-16,Yes,,Yes,No,Yes,11,5,10,Happy ğŸ˜Š
2023-09-17,,No,Yes,No,No,20,2,6,Meh ğŸ˜
2023-09-18,Yes,Yes,No,No,No,5,12,11,Tired ğŸ˜´
2023-09-19,Yes,Yes,No,No,No,7,4,10,Energetic âš¡
2023-09-20,Yes,Yes,Yes,No,Yes,11,10,7,Happy ğŸ˜Š
2023-09-21,Yes,No,No,Yes,Yes,10,3,11,Great! ğŸŒŸ
2023-09-22,Yes,Yes,Yes,Yes,No,1,8,11,Meh ğŸ˜
2023-09-23,Yes,No,Yes,No,No,12,1,3,Meh ğŸ˜
2023-09-24,No,Yes,Yes,Yes,No,5,0,4,Energetic âš¡
2023-09-25,Yes,Yes,No,Yes,Yes,14,6,5,Happy ğŸ˜Š
2023-09-26,Yes,Yes,Yes,Yes,No,10,8,8,Great! ğŸŒŸ
2023-09-27,Yes,,Yes,No,Yes,19,3,7,Happy ğŸ˜Š
2023-09-28,Yes,No,Yes,No,No,6,8,5,Happy ğŸ˜Š
2023-09-29,Yes,No,No,Yes,Yes,13,1,11,Meh ğŸ˜
2023-09-30,Yes,Yes,No,Yes,,10,4,6,Meh ğŸ˜
2023-10-01,Yes,No,Yes,Yes,No,19,5,4,Energetic âš¡
2023-10-02,Yes,Yes,No,No,No,5,10,,Happy ğŸ˜Š
2023-10-03,Yes,Yes,Yes,No,No,12,12,7,Energetic âš¡
2023-10-04,Yes,Yes,No,No,No,19,3,11,Happy ğŸ˜Š
2023-10-05,No,Yes,Yes,No,No,13,8,9,Energetic âš¡
2023-10-06,Yes,No,Yes,No,No,11,7,12,Meh ğŸ˜
2023-10-07,Yes,Yes,No,No,No,1,4,10,Energetic âš¡
2023-10-08,Yes,Yes,,No,No,7,11,9,Tired ğŸ˜´
2023-10-09,Yes,No,No,Yes,Yes,18,2,7,Tired ğŸ˜´
2023-10-10,Yes,Yes,Yes,No,No,12,7,3,Great! ğŸŒŸ
2023-10-11,No,Yes,Yes,Yes,No,16,11,10,Tired ğŸ˜´
2023-10-12,Yes,No,Yes,No,Yes,1,9,3,Meh ğŸ˜
2023-10-13,Yes,Yes,Yes,No,No,7,7,8,Great! ğŸŒŸ
2023-10-14,Yes,No,Yes,No,No,12,5,12,Great! ğŸŒŸ
2023-10-15,Yes,Yes,Yes,No,No,14,,10,Happy ğŸ˜Š
2023-10-16,Yes,No,Yes,No,Yes,17,12,11,Great! ğŸŒŸ
2023-10-17,Yes,No,Yes,No,No,9,7,8,Tired ğŸ˜´
2023-10-18,Yes,No,Yes,No,No,19,11,3,Meh ğŸ˜
2023-10-19,Yes,Yes,Yes,No,Yes,7,11,7,Great! ğŸŒŸ
2023-10-20,Yes,Yes,No,No,No,18,2,5,Great! ğŸŒŸ
2023-10-21,Yes,No,Yes,No,No,9,9,5,Tired ğŸ˜´
2023-10-22,Yes,Yes,Yes,,No,10,2,11,Tired ğŸ˜´
2023-10-23,Yes,No,Yes,No,Yes,8,1,11,Tired ğŸ˜´
2023-10-24,Yes,Yes,Yes,No,No,18,8,9,Happy ğŸ˜Š
2023-10-25,Yes,Yes,Yes,Yes,No,12,5,6,Meh ğŸ˜
2023-10-26,Yes,Yes,Yes,No,No,2,12,11,Tired ğŸ˜´
2023-10-27,No,Yes,Yes,No,Yes,16,8,3,Meh ğŸ˜
2023-10-28,No,Yes,Yes,No,No,0,12,11,Energetic âš¡
2023-10-29,Yes,Yes,Yes,No,No,12,12,4,Energetic âš¡
2023-10-30,Yes,Yes,No,No,No,5,2,6,Great! ğŸŒŸ
2023-10-31,Yes,Yes,No,Yes,Yes,19,0,4,Great! ğŸŒŸ
2023-11-01,Yes,No,Yes,No,No,5,5,4,Happy ğŸ˜Š
2023-11-02,Yes,Yes,Yes,Yes,No,12,7,9,Happy ğŸ˜Š
2023-11-03,Yes,No,No,Yes,No,5,9,5,Meh ğŸ˜
2023-11-04,Yes,Yes,Yes,No,Yes,18,7,6,Tired ğŸ˜´
2023-11-05,Yes,Yes,Yes,No,No,17,8,4,Meh ğŸ˜
2023-11-06,No,Yes,Yes,Yes,Yes,16,0,4,Great! ğŸŒŸ
2023-11-07,Yes,No,Yes,Yes,Yes,13,3,5,Great! ğŸŒŸ
2023-11-08,Yes,No,Yes,Yes,No,9,3,11,Tired ğŸ˜´
2023-11-09,No,Yes,Yes,No,Yes,1,8,6,Happy ğŸ˜Š
2023-11-10,Yes,No,No,No,No,5,8,4,Tired ğŸ˜´
2023-11-11,Yes,Yes,Yes,Yes,No,8,11,9,Tired ğŸ˜´
2023-11-12,Yes,No,Yes,Yes,No,3,0,9,Happy ğŸ˜Š
2023-11-13,Yes,Yes,Yes,Yes,Yes,0,9,10,Meh ğŸ˜
2023-11-14,No,Yes,Yes,Yes,Yes,17,11,10,Energetic âš¡
2023-11-15,Yes,Yes,Yes,No,No,13,9,7,Happy ğŸ˜Š
2023-11-16,Yes,No,Yes,Yes,No,0,11,3,Energetic âš¡
2023-11-17,Yes,No,Yes,No,No,1,2,12,Tired ğŸ˜´
2023-11-18,Yes,Yes,Yes,Yes,No,3,0,11,Energetic âš¡
2023-11-19,Yes,No,Yes,No,No,14,0,6,Tired ğŸ˜´
2023-11-20,No,Yes,No,No,No,18,5,4,Energetic âš¡
2023-11-21,Yes,No,Yes,No,Yes,4,3,9,Tired ğŸ˜´
2023-11-22,Yes,Yes,Yes,No,No,9,2,11,Energetic âš¡
2023-11-23,Yes,No,Yes,No,Yes,8,6,7,Great! ğŸŒŸ
2023-11-24,Yes,Yes,Yes,No,No,2,8,12,Great! ğŸŒŸ
2023-11-25,No,Yes,Yes,No,Yes,5,0,6,Energetic âš¡
2023-11-26,Yes,Yes,Yes,No,Yes,14,4,7,Meh ğŸ˜
2023-11-27,No,Yes,Yes,No,No,15,12,11,Great! ğŸŒŸ
2023-11-28,Yes,Yes,Yes,No,No,7,12,10,Meh ğŸ˜
2023-11-29,Yes,Yes,No,No,Yes,6,3,9,Energetic âš¡
2023-11-30,Yes,No,Yes,No,Yes,10,11,8,Tired ğŸ˜´
2023-12-01,No,Yes,Yes,No,Yes,16,10,3,Great! ğŸŒŸ
2023-12-02,Yes,Yes,No,Yes,No,5,11,4,Energetic âš¡
2023-12-03,Yes,Yes,Yes,No,No,5,10,8,Happy ğŸ˜Š
2023-12-04,Yes,No,Yes,No,No,9,0,4,Happy ğŸ˜Š
2023-12-05,No,Yes,Yes,No,No,1,10,6,Great! ğŸŒŸ
2023-12-06,No,,Yes,No,No,14,9,7,Tired ğŸ˜´
2023-12-07,No,No,No,No,No,2,11,11,Tired ğŸ˜´
2023-12-08,No,Yes,Yes,No,No,20,12,4,Meh ğŸ˜
2023-12-09,Yes,Yes,Yes,Yes,Yes,4,3,8,Tired ğŸ˜´
2023-12-10,No,No,No,Yes,No,17,12,4,Tired ğŸ˜´
2023-12-11,Yes,No,Yes,No,No,5,7,3,Meh ğŸ˜
2023-12-12,Yes,Yes,Yes,Yes,No,17,7,10,Happy ğŸ˜Š
2023-12-13,Yes,Yes,Yes,Yes,No,13,7,6,Tired ğŸ˜´
2023-12-14,Yes,Yes,Yes,No,Yes,9,10,3,Great! ğŸŒŸ
2023-12-15,Yes,No,Yes,Yes,Yes,8,6,7,Happy ğŸ˜Š
2023-12-16,Yes,No,No,No,Yes,11,4,12,Tired ğŸ˜´
2023-12-17,No,No,Yes,Yes,Yes,6,2,5,Great! ğŸŒŸ
2023-12-18,Yes,Yes,Yes,Yes,No,15,12,12,Energetic âš¡
2023-12-19,No,Yes,No,No,No,2,2,4,Tired ğŸ˜´
2023-12-20,Yes,Yes,No,Yes,No,15,3,6,Energetic âš¡
2023-12-21,Yes,No,Yes,No,No,10,8,7,Happy ğŸ˜Š
2023-12-22,Yes,Yes,No,No,No,8,10,5,Happy ğŸ˜Š
2023-12-23,No,Yes,Yes,No,No,17,0,12,Tired ğŸ˜´
2023-12-24,No,Yes,Yes,No,Yes,3,12,3,Great! ğŸŒŸ
2023-12-25,Yes,Yes,No,No,No,20,11,10,Great! ğŸŒŸ
2023-12-26,Yes,Yes,No,No,No,6,2,5,Meh ğŸ˜
2023-12-27,No,Yes,Yes,Yes,No,17,6,5,Energetic âš¡
2023-12-28,Yes,Yes,Yes,No,No,5,11,10,Tired ğŸ˜´
2023-12-29,Yes,Yes,Yes,No,No,17,9,6,Meh ğŸ˜
2023-12-30,Yes,Yes,Yes,No,No,15,0,6,Tired ğŸ˜´
2023-12-31,Yes,No,Yes,No,No,15,8,3,Tired ğŸ˜´
2024-01-01,Yes,No,Yes,No,Yes,8,5,6,Great! ğŸŒŸ
2024-01-02,No,Yes,Yes,No,No,18,3,5,Meh ğŸ˜
2024-01-03,Yes,Yes,Yes,Yes,No,11,10,9,Great! ğŸŒŸ
2024-01-04,Yes,Yes,Yes,No,No,1,9,3,Tired ğŸ˜´
2024-01-05,No,No,Yes,No,No,12,8,4,Great! ğŸŒŸ
2024-01-06,No,Yes,Yes,No,No,10,4,11,Meh ğŸ˜
2024-01-07,Yes,Yes,Yes,Yes,Yes,18,7,4,Happy ğŸ˜Š
2024-01-08,Yes,Yes,Yes,Yes,Yes,12,6,8,Energetic âš¡
2024-01-09,Yes,Yes,Yes,No,No,2,2,8,Great! ğŸŒŸ
2024-01-10,No,Yes,No,No,No,5,,5,Tired ğŸ˜´
2024-01-11,Yes,Yes,Yes,No,No,4,10,10,Happy ğŸ˜Š
2024-01-12,Yes,Yes,Yes,No,No,16,6,3,Meh ğŸ˜
2024-01-13,Yes,No,Yes,Yes,No,5,3,7,Meh ğŸ˜
2024-01-14,Yes,,Yes,No,Yes,4,10,6,Energetic âš¡
2024-01-15,Yes,Yes,No,No,Yes,1,2,4,Energetic âš¡
2024-01-16,No,Yes,Yes,No,Yes,1,10,4,Energetic âš¡
2024-01-17,Yes,Yes,Yes,Yes,No,4,6,10,Meh ğŸ˜
2024-01-18,Yes,Yes,Yes,No,No,17,0,9,Happy ğŸ˜Š
2024-01-19,Yes,Yes,Yes,Yes,No,2,12,11,Great! ğŸŒŸ
2024-01-20,No,Yes,Yes,Yes,No,4,1,4,Energetic âš¡
2024-01-21,Yes,No,Yes,No,No,19,0,4,Energetic âš¡
2024-01-22,Yes,Yes,No,No,No,0,10,10,Happy ğŸ˜Š
2024-01-23,Yes,Yes,No,No,No,4,3,10,Energetic âš¡
2024-01-24,No,Yes,Yes,Yes,No,6,8,9,Energetic âš¡
2024-01-25,Yes,Yes,Yes,No,No,10,0,11,Meh ğŸ˜
2024-01-26,No,No,No,No,No,6,0,10,Great! ğŸŒŸ
2024-01-27,Yes,No,Yes,No,Yes,8,3,7,Tired ğŸ˜´
2024-01-28,Yes,No,Yes,Yes,No,18,8,3,Happy ğŸ˜Š
2024-01-29,Yes,No,Yes,No,No,19,8,12,Happy ğŸ˜Š
2024-01-30,No,Yes,Yes,Yes,No,8,10,10,Great! ğŸŒŸ
2024-01-31,Yes,Yes,No,No,No,9,5,3,Happy ğŸ˜Š
2024-02-01,Yes,Yes,Yes,No,No,7,1,11,Meh ğŸ˜
2024-02-02,Yes,No,Yes,No,No,1,2,11,Meh ğŸ˜
2024-02-03,Yes,No,Yes,No,No,5,10,7,Meh ğŸ˜
2024-02-04,Yes,Yes,Yes,No,No,4,0,3,Tired ğŸ˜´
2024-02-05,No,Yes,Yes,No,No,15,2,6,Energetic âš¡
2024-02-06,Yes,Yes,Yes,No,No,3,2,8,Happy ğŸ˜Š
2024-02-07,Yes,Yes,Yes,No,No,11,3,7,Tired ğŸ˜´
2024-02-08,Yes,Yes,Yes,No,Yes,0,0,10,Energetic âš¡
2024-02-09,No,Yes,No,Yes,Yes,0,1,11,Tired ğŸ˜´
2024-02-10,Yes,Yes,Yes,No,Yes,10,4,9,Energetic âš¡
2024-02-11,Yes,No,Yes,No,No,2,6,11,Energetic âš¡
2024-02-12,Yes,No,Yes,No,No,12,8,12,Meh ğŸ˜
2024-02-13,Yes,Yes,Yes,No,No,7,1,12,Tired ğŸ˜´
2024-02-14,Yes,Yes,No,Yes,No,18,0,8,Happy ğŸ˜Š
2024-02-15,Yes,Yes,No,No,No,2,5,10,Tired ğŸ˜´
2024-02-16,Yes,Yes,Yes,Yes,No,4,3,12,Happy ğŸ˜Š
2024-02-17,Yes,,Yes,No,No,7,11,7,Tired ğŸ˜´
2024-02-18,Yes,Yes,Yes,No,No,7,6,10,Tired ğŸ˜´
2024-02-19,Yes,Yes,Yes,No,Yes,15,12,3,Tired ğŸ˜´
2024-02-20,Yes,Yes,Yes,No,No,1,10,8,Meh ğŸ˜
2024-02-21,Yes,Yes,Yes,No,Yes,8,0,3,Meh ğŸ˜
2024-02-22,No,No,No,No,No,4,3,6,Meh ğŸ˜
2024-02-23,Yes,No,Yes,Yes,Yes,10,10,11,Meh ğŸ˜
2024-02-24,Yes,No,No,No,,19,9,3,Great! ğŸŒŸ
2024-02-25,No,Yes,No,No,No,19,10,8,Happy ğŸ˜Š
2024-02-26,No,Yes,No,No,No,5,7,4,Happy ğŸ˜Š
2024-02-27,Yes,Yes,Yes,No,Yes,10,3,3,Tired ğŸ˜´
2024-02-28,Yes,Yes,Yes,Yes,No,0,8,9,Happy ğŸ˜Š
2024-02-29,No,No,Yes,Yes,No,16,9,10,Meh ğŸ˜
2024-03-01,Yes,Yes,Yes,No,No,7,6,8,Great! ğŸŒŸ
2024-03-02,Yes,Yes,No,No,Yes,17,4,5,Meh ğŸ˜
2024-03-03,No,No,No,No,No,17,7,3,Energetic âš¡
2024-03-04,Yes,No,Yes,No,Yes,3,1,12,Tired ğŸ˜´
2024-03-05,Yes,No,No,No,No,9,1,12,Great! ğŸŒŸ
2024-03-06,Yes,No,No,No,Yes,7,2,5,Energetic âš¡
2024-03-07,Yes,No,Yes,Yes,Yes,18,2,10,Meh ğŸ˜
2024-03-08,Yes,No,No,No,Yes,12,1,7,Tired ğŸ˜´
2024-03-09,Yes,Yes,No,No,No,14,1,10,Happy ğŸ˜Š
2024-03-10,Yes,Yes,No,Yes,Yes,10,0,11,Energetic âš¡
2024-03-11,Yes,Yes,Yes,No,No,6,9,3,
2024-03-12,Yes,Yes,Yes,Yes,Yes,0,12,8,Happy ğŸ˜Š
2024-03-13,Yes,Yes,No,,No,14,4,11,Happy ğŸ˜Š
2024-03-14,No,Yes,Yes,Yes,Yes,5,10,6,Tired ğŸ˜´
2024-03-15,Yes,Yes,No,No,No,13,8,11,Great! ğŸŒŸ
2024-03-16,No,Yes,Yes,No,No,,0,12,Great! ğŸŒŸ
2024-03-17,No,No,No,Yes,No,6,3,9,Great! ğŸŒŸ
2024-03-18,Yes,Yes,Yes,No,Yes,19,3,3,Meh ğŸ˜
2024-03-19,No,Yes,Yes,No,Yes,0,2,9,Happy ğŸ˜Š
2024-03-20,Yes,Yes,No,No,No,0,11,5,Energetic âš¡
2024-03-21,Yes,Yes,No,No,Yes,5,4,4,Energetic âš¡
2024-03-22,No,Yes,No,No,No,8,11,,Energetic âš¡
2024-03-23,No,Yes,Yes,No,No,16,4,5,Happy ğŸ˜Š
2024-03-24,Yes,No,No,Yes,Yes,11,10,8,Tired ğŸ˜´
2024-03-25,Yes,Yes,Yes,No,No,16,7,12,Energetic âš¡
2024-03-26,No,Yes,Yes,No,No,12,6,10,Meh ğŸ˜
2024-03-27,Yes,No,Yes,No,Yes,3,1,9,Meh ğŸ˜
2024-03-28,Yes,Yes,No,Yes,Yes,15,,4,Energetic âš¡
2024-03-29,Yes,Yes,Yes,No,No,6,6,12,Great! ğŸŒŸ
2024-03-30,Yes,No,Yes,Yes,No,13,1,7,Great! ğŸŒŸ
2024-03-31,No,Yes,Yes,Yes,No,14,9,11,Tired ğŸ˜´
2024-04-01,Yes,No,No,Yes,Yes,3,9,3,Happy ğŸ˜Š
2024-04-02,Yes,Yes,Yes,No,No,3,6,4,Energetic âš¡
2024-04-03,Yes,Yes,Yes,No,Yes,5,1,6,Tired ğŸ˜´
2024-04-04,Yes,No,Yes,No,No,10,9,10,Great! ğŸŒŸ
2024-04-05,No,No,Yes,No,No,11,11,10,Energetic âš¡
2024-04-06,No,Yes,No,No,Yes,10,2,3,Happy ğŸ˜Š
2024-04-07,Yes,Yes,Yes,No,Yes,4,10,9,Happy ğŸ˜Š
2024-04-08,Yes,Yes,Yes,No,No,20,2,8,Great! ğŸŒŸ
2024-04-09,Yes,Yes,Yes,Yes,No,19,6,3,Happy ğŸ˜Š
2024-04-10,Yes,Yes,Yes,Yes,No,14,11,11,Meh ğŸ˜
2024-04-11,Yes,Yes,Yes,No,No,16,5,12,Energetic âš¡
2024-04-12,Yes,No,Yes,Yes,No,0,11,9,Energetic âš¡
2024-04-13,No,No,Yes,No,Yes,8,6,6,Happy ğŸ˜Š
2024-04-14,Yes,Yes,Yes,Yes,Yes,,11,10,Great! ğŸŒŸ
2024-04-15,No,No,No,Yes,Yes,14,0,8,Great! ğŸŒŸ
2024-04-16,Yes,No,No,No,No,13,5,4,Meh ğŸ˜
2024-04-17,Yes,Yes,Yes,Yes,Yes,2,,7,Meh ğŸ˜
2024-04-18,Yes,Yes,Yes,Yes,Yes,19,7,10,Tired ğŸ˜´
2024-04-19,No,Yes,No,Yes,No,13,1,8,Tired ğŸ˜´
2024-04-20,Yes,Yes,Yes,No,No,16,11,11,Meh ğŸ˜
2024-04-21,No,No,Yes,No,No,13,10,12,Meh ğŸ˜
2024-04-22,Yes,Yes,Yes,No,Yes,5,10,6,Tired ğŸ˜´
2024-04-23,Yes,No,Yes,No,Yes,1,10,4,Happy ğŸ˜Š
2024-04-24,,Yes,Yes,No,No,18,12,12,Tired ğŸ˜´
2024-04-25,Yes,Yes,Yes,No,No,5,11,12,Energetic âš¡
2024-04-26,Yes,Yes,Yes,No,No,5,7,6,Happy ğŸ˜Š
2024-04-27,Yes,Yes,Yes,No,Yes,19,8,4,Happy ğŸ˜Š
2024-04-28,Yes,Yes,Yes,No,No,2,6,6,Meh ğŸ˜
2024-04-29,Yes,Yes,Yes,No,No,15,7,7,Happy ğŸ˜Š
2024-04-30,Yes,Yes,Yes,Yes,No,20,7,11,Great! ğŸŒŸ
2024-05-01,Yes,Yes,Yes,No,No,7,7,3,Tired ğŸ˜´
2024-05-02,Yes,No,No,No,No,1,2,11,Tired ğŸ˜´
2024-05-03,No,No,No,No,No,18,3,5,Meh ğŸ˜
2024-05-04,No,No,No,Yes,No,12,8,7,Great! ğŸŒŸ
2024-05-05,Yes,Yes,No,No,Yes,6,6,9,Energetic âš¡
2024-05-06,Yes,Yes,Yes,Yes,No,14,10,10,Meh ğŸ˜
2024-05-07,No,Yes,Yes,Yes,No,11,3,6,Tired ğŸ˜´
2024-05-08,Yes,Yes,Yes,No,No,16,5,11,Great! ğŸŒŸ
2024-05-09,Yes,No,Yes,No,Yes,3,11,7,Happy ğŸ˜Š
2024-05-10,No,Yes,Yes,Yes,No,18,8,7,Great! ğŸŒŸ
2024-05-11,Yes,Yes,Yes,Yes,Yes,2,11,8,Meh ğŸ˜
2024-05-12,No,Yes,No,Yes,No,18,7,10,Great! ğŸŒŸ
2024-05-13,Yes,Yes,No,No,No,13,6,10,Energetic âš¡
